[2026-01-07 17:08:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:52] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload ''
[2026-01-07 17:08:52] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/light/0xa4c1386d425bfa10/light/config', payload ''
[2026-01-07 17:08:52] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Bedroom 4 (Near Door)', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:52] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/rename', payload '{"data":{"from":"0xa4c1386d425bfa10","homeassistant_rename":true,"to":"Bedroom 4 (Near Door)"},"status":"ok","transaction":"gmx7r-3"}'
[2026-01-07 17:08:52] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0xa4c1386d425bfa10/effect/config', payload ''
[2026-01-07 17:08:53] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/switch/0xa4c1386d425bfa10/switch_do_not_disturb/config', payload ''
[2026-01-07 17:08:53] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0xa4c1386d425bfa10/linkquality/config', payload ''
[2026-01-07 17:08:55] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/light/0xa4c1386d425bfa10/light/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"brightness":true,"brightness_scale":254,"command_topic":"zigbee2mqtt/Bedroom 4 (Near Door)/set","default_entity_id":"light.bedroom_4_(near_door)","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"Bedroom 4 (Near Door)","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"effect":true,"effect_list":["blink","breathe","okay","channel_change","finish_effect","stop_effect"],"max_mireds":500,"min_mireds":153,"name":null,"object_id":"bedroom_4_(near_door)","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"schema":"json","state_topic":"zigbee2mqtt/Bedroom 4 (Near Door)","supported_color_modes":["color_temp"],"unique_id":"0xa4c1386d425bfa10_light_zigbee2mqtt"}'
[2026-01-07 17:08:55] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0xa4c1386d425bfa10/effect/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Bedroom 4 (Near Door)/set/effect","default_entity_id":"select.bedroom_4_(near_door)_effect","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"Bedroom 4 (Near Door)","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"enabled_by_default":false,"icon":"mdi:palette","name":"Effect","object_id":"bedroom_4_(near_door)_effect","options":["blink","breathe","okay","channel_change","finish_effect","stop_effect"],"origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"unique_id":"0xa4c1386d425bfa10_effect_zigbee2mqtt"}'
[2026-01-07 17:08:55] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/switch/0xa4c1386d425bfa10/switch_do_not_disturb/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Bedroom 4 (Near Door)/set/do_not_disturb","default_entity_id":"switch.bedroom_4_(near_door)_do_not_disturb","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"Bedroom 4 (Near Door)","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"name":"Do not disturb","object_id":"bedroom_4_(near_door)_do_not_disturb","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":"false","payload_on":"true","state_topic":"zigbee2mqtt/Bedroom 4 (Near Door)","unique_id":"0xa4c1386d425bfa10_switch_do_not_disturb_zigbee2mqtt","value_template":"{% if value_json.do_not_disturb %}true{% else %}false{% endif %}"}'
[2026-01-07 17:08:55] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0xa4c1386d425bfa10/linkquality/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.bedroom_4_(near_door)_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"Bedroom 4 (Near Door)","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"bedroom_4_(near_door)_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Bedroom 4 (Near Door)","unique_id":"0xa4c1386d425bfa10_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2026-01-07 17:09:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Bedroom 4 (Near Door)', payload ''
[2026-01-07 17:09:02] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/light/0xa4c1386d425bfa10/light/config', payload ''
[2026-01-07 17:09:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Bedroom Light 4 (Near Door)', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:09:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/rename', payload '{"data":{"from":"Bedroom 4 (Near Door)","homeassistant_rename":true,"to":"Bedroom Light 4 (Near Door)"},"status":"ok","transaction":"gmx7r-4"}'
[2026-01-07 17:09:02] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0xa4c1386d425bfa10/effect/config', payload ''
[2026-01-07 17:09:02] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/switch/0xa4c1386d425bfa10/switch_do_not_disturb/config', payload ''
